motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,count,proportion
0.12,40.0,prior,60.0,75.0,67.5,234,0.040323970360158536
0.12,40.0,prior,75.0,90.0,82.5,138,0.02378080303291401
0.12,40.0,prior,90.0,105.0,97.5,79,0.013613648113044977
0.12,40.0,prior,105.0,120.0,112.5,18,0.003101843873858349
0.12,40.0,prior,120.0,135.0,127.5,20,0.0034464931931759437
0.12,40.0,prior,135.0,150.0,142.5,17,0.002929519214199552
0.12,40.0,prior,150.0,165.0,157.5,10,0.0017232465965879718
0.12,40.0,prior,165.0,180.0,172.5,11,0.001895571256246769
0.12,80.0,stimulus,-180.0,-165.0,-172.5,95,0.008197428596082492
0.12,80.0,stimulus,-165.0,-150.0,-157.5,71,0.006126499266545862
0.12,80.0,stimulus,-150.0,-135.0,-142.5,79,0.006816809043058072
0.12,80.0,stimulus,-135.0,-120.0,-127.5,70,0.006040210544481836
0.12,80.0,stimulus,-120.0,-105.0,-112.5,69,0.00595392182241781
0.12,80.0,stimulus,-105.0,-90.0,-97.5,109,0.009405470704978859
0.12,80.0,stimulus,-90.0,-75.0,-82.5,152,0.013115885753731987
0.12,80.0,stimulus,-75.0,-60.0,-67.5,197,0.01699887824661317
0.12,80.0,stimulus,-60.0,-45.0,-52.5,419,0.03615497454482699
0.12,80.0,stimulus,-45.0,-30.0,-37.5,791,0.06825437915264475
0.12,80.0,stimulus,-30.0,-15.0,-22.5,1526,0.13167658986970404
0.12,80.0,stimulus,-15.0,0.0,-7.5,2264,0.19535766675295538
0.12,80.0,stimulus,0.0,15.0,7.5,2225,0.19199240659245836
0.12,80.0,stimulus,15.0,30.0,22.5,1435,0.12382431616187764
0.12,80.0,stimulus,30.0,45.0,37.5,789,0.0680818017085167
0.12,80.0,stimulus,45.0,60.0,52.5,405,0.034946932435930625
0.12,80.0,stimulus,60.0,75.0,67.5,209,0.018034342911381483
0.12,80.0,stimulus,75.0,90.0,82.5,130,0.01121753386832341
0.12,80.0,stimulus,90.0,105.0,97.5,118,0.010182069203555095
0.12,80.0,stimulus,105.0,120.0,112.5,79,0.006816809043058072
0.12,80.0,stimulus,120.0,135.0,127.5,88,0.0075934075416343085
0.12,80.0,stimulus,135.0,150.0,142.5,91,0.007852273707826388
0.12,80.0,stimulus,150.0,165.0,157.5,85,0.007334541375442229
0.12,80.0,stimulus,165.0,180.0,172.5,93,0.00802485115195444
0.12,80.0,prior,-180.0,-165.0,-172.5,237,0.020450427129174217
0.12,80.0,prior,-165.0,-150.0,-157.5,226,0.019501251186469927
