model,motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,observed,simulated_mean,simulated_ci_low,simulated_ci_high,n_simulations
HMM_static,0.0599999999999999,80,prior,-180,-165,-172.5,0.0222797927461138,0.0135867789210425,0.0118145110550053,0.0156134052452982,100
HMM_static,0.0599999999999999,80,prior,-165,-150,-157.5,0.0191062176165802,0.0145360526359576,0.0127662635681502,0.0161825031802884,100
HMM_static,0.0599999999999999,80,prior,-150,-135,-142.5,0.0229274611398962,0.0164703423224503,0.0148387812378395,0.0183142775526491,100
HMM_static,0.0599999999999999,80,prior,-135,-120,-127.5,0.0244170984455958,0.01917663509057,0.0169491050041822,0.0213017616342317,100
HMM_static,0.0599999999999999,80,prior,-120,-105,-112.5,0.0310233160621761,0.0225220267517475,0.0205403676228438,0.0245985133569235,100
HMM_static,0.0599999999999999,80,prior,-105,-90,-97.5,0.0338730569948186,0.0273782232300309,0.024844198186562,0.0298695087051576,100
HMM_static,0.0599999999999999,80,prior,-90,-75,-82.5,0.0358160621761658,0.0341269624815406,0.0311679153699788,0.0366005550185383,100
HMM_static,0.0599999999999999,80,prior,-75,-60,-67.5,0.0380181347150259,0.0433895306472636,0.0404367878622386,0.0463959792212644,100
HMM_static,0.0599999999999999,80,prior,-60,-45,-52.5,0.0330958549222796,0.0561725857636998,0.0531242961493337,0.0594289194798625,100
HMM_static,0.0599999999999999,80,prior,-45,-30,-37.5,0.0409326424870466,0.0713935173619379,0.0672143796797785,0.0755898543021804,100
HMM_static,0.0599999999999999,80,prior,-30,-15,-22.5,0.0674870466321243,0.0868149438687394,0.0824930540450812,0.0906967899464037,100
HMM_static,0.0599999999999999,80,prior,-15,0,-7.5,0.1286917098445594,0.0957374783354154,0.089764126771744,0.1011190293143985,100
HMM_static,0.0599999999999999,80,prior,0,15,7.5,0.1025259067357512,0.0959303633687448,0.090300242357116,0.1001238785156429,100
HMM_static,0.0599999999999999,80,prior,15,30,22.5,0.0687176165803107,0.0867299854706593,0.08180514661773,0.0910141650483187,100
HMM_static,0.0599999999999999,80,prior,30,45,37.5,0.0547927461139895,0.0711630366525437,0.0670489075831704,0.0751002948296962,100
HMM_static,0.0599999999999999,80,prior,45,60,52.5,0.0475388601036269,0.0562282251337205,0.0523458663025868,0.0600683408737446,100
HMM_static,0.0599999999999999,80,prior,60,75,67.5,0.0479922279792745,0.0430805002137525,0.0397361230669446,0.0461687829614806,100
HMM_static,0.0599999999999999,80,prior,75,90,82.5,0.0474740932642487,0.03389864214932,0.0313421597391291,0.0366734236946862,100
HMM_static,0.0599999999999999,80,prior,90,105,97.5,0.0347797927461138,0.0271462723055461,0.0244303947429307,0.0300325410500205,100
HMM_static,0.0599999999999999,80,prior,105,120,112.5,0.0249352331606217,0.0223022743913752,0.020017035282904,0.0243083280215296,100
HMM_static,0.0599999999999999,80,prior,120,135,127.5,0.0175518134715025,0.0185706767263606,0.0163608655247555,0.0205984983757414,100
