stage,fold,subject_id,model,seed,train_ll,delta_from_best,converged,n_iter,selected,message
cv,2.0,,Serial_both_independent_switching,3210,-56794.68242695933,-0.0012788322637788,True,30,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3211,-56794.68114812707,0.0,True,49,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3212,-56794.68394504192,-0.002796914850478,True,60,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3213,-56794.6828903898,-0.0017422627279302,True,48,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3214,-56794.68128368755,-0.0001355604763375,True,49,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Covariate_HMM,4200,-50934.80994523851,0.0,True,50,True,
cv,2.0,,Covariate_HMM,4201,-50935.01594438847,-0.2059991499627358,True,38,False,
cv,2.0,,Covariate_HMM,4202,-50934.831699430135,-0.0217541916281334,True,36,False,
cv,2.0,,Covariate_HMM,4203,-50934.84544855,-0.0355033114974503,True,45,False,
cv,2.0,,Covariate_HMM,4204,-50935.14824527393,-0.338300035422435,True,48,False,
cv,2.0,,Covariate_HMM,4205,-50935.06096330762,-0.2510180691097048,True,46,False,
cv,2.0,,Covariate_HMM,4206,-50935.05628209256,-0.2463368540484225,True,40,False,
cv,2.0,,Covariate_HMM,4207,-50935.11647783569,-0.3065325971838319,True,48,False,
cv,2.0,,Covariate_HMM,4208,-50935.03381142478,-0.2238661862720619,True,35,False,
cv,2.0,,Covariate_HMM,4209,-50934.99947475037,-0.1895295118665672,True,45,False,
cv,3.0,,HMM_static,1300,-52472.04590240893,-0.1093488285769126,True,37,False,
cv,3.0,,HMM_static,1301,-52471.9731423044,-0.0365887240477604,True,32,False,
cv,3.0,,HMM_static,1302,-52471.93655358035,0.0,True,33,True,
cv,3.0,,HMM_static,1303,-52471.950448872,-0.0138952916458947,True,32,False,
cv,3.0,,HMM_static,1304,-52472.08676364985,-0.1502100694997352,True,109,False,
cv,3.0,,HMM_static,1305,-52472.01630776137,-0.0797541810170514,True,31,False,
cv,3.0,,HMM_static,1306,-52471.95426014355,-0.0177065632015001,True,33,False,
cv,3.0,,HMM_static,1307,-52472.00379040303,-0.0672368226732942,True,33,False,
cv,3.0,,HMM_static,1308,-52471.96324373777,-0.0266901574213989,True,32,False,
cv,3.0,,HMM_static,1309,-52471.97147888652,-0.0349253061649506,True,31,False,
cv,3.0,,HMM_static,1310,-52471.95284700926,-0.0162934289110125,True,32,False,
cv,3.0,,HMM_static,1311,-52471.99617232848,-0.059618748127832,True,32,False,
cv,3.0,,HMM_static,1312,-52472.08691935149,-0.1503657711364212,True,88,False,
cv,3.0,,HMM_static,1313,-52471.94504275468,-0.0084891743244952,True,32,False,
cv,3.0,,HMM_static,1314,-52472.08681479146,-0.1502612111071357,True,94,False,
cv,3.0,,HMM_static,1315,-52471.94239190004,-0.0058383196883369,True,36,False,
cv,3.0,,HMM_static,1316,-52472.0101757118,-0.0736221314509748,True,35,False,
