fold,model,seq_id,subject_id,session_id,run_id,prior_std,n_test,test_ll,test_ll_per_trial
1,Serial_both_independent_switching,61,2.0,5.0,22.0,20.0,215,-35.669017321041565,-0.16590240614437937
1,Serial_both_independent_switching,64,2.0,5.0,25.0,80.0,215,-263.1985152328467,-1.2241791406178917
1,Serial_both_independent_switching,70,2.0,7.0,31.0,20.0,215,-42.44245726730064,-0.19740677798744483
1,Serial_both_independent_switching,71,2.0,7.0,32.0,80.0,215,-263.0715773960044,-1.223588732074439
1,Serial_both_independent_switching,72,2.0,7.0,33.0,40.0,207,-164.15825613852536,-0.7930350538093013
1,Serial_both_independent_switching,73,2.0,8.0,31.0,10.0,213,7.810417812783243,0.03666862822902931
1,Serial_both_independent_switching,80,3.0,1.0,4.0,20.0,215,-55.40992612812684,-0.2577205866424504
1,Serial_both_independent_switching,81,3.0,1.0,5.0,80.0,215,-210.94290347018634,-0.981129783582262
1,Serial_both_independent_switching,82,3.0,2.0,6.0,10.0,213,-8.113016777316503,-0.03808928064467842
1,Serial_both_independent_switching,86,3.0,2.0,10.0,80.0,215,-170.514143675783,-0.7930890403524791
1,Serial_both_independent_switching,87,3.0,3.0,11.0,40.0,207,-98.26931974208472,-0.47473101324678607
1,Serial_both_independent_switching,91,3.0,3.0,15.0,20.0,215,-39.321262332145295,-0.18288959224253626
1,Serial_both_independent_switching,99,3.0,5.0,23.0,20.0,215,-56.39551386855035,-0.26230471566767605
1,Serial_both_independent_switching,100,3.0,5.0,24.0,40.0,207,-125.09776340819698,-0.6043370212956376
1,Serial_both_independent_switching,102,3.0,6.0,26.0,10.0,213,4.9647308978988445,0.023308595764783308
1,Serial_both_independent_switching,118,3.0,9.0,42.0,80.0,226,-200.40034910672722,-0.886727208436846
1,Serial_both_independent_switching,119,3.0,9.0,43.0,80.0,202,-158.6357857774297,-0.7853256721654935
1,Serial_both_independent_switching,132,4.0,3.0,12.0,80.0,215,-233.9430819100517,-1.0881073577211706
1,Serial_both_independent_switching,133,4.0,3.0,13.0,10.0,213,-42.106340768452704,-0.19768235102559956
1,Serial_both_independent_switching,137,4.0,4.0,17.0,40.0,207,-165.17128900260388,-0.797928932379729
1,Serial_both_independent_switching,139,4.0,5.0,19.0,20.0,215,-102.06205850649121,-0.474707248867401
1,Serial_both_independent_switching,143,4.0,5.0,23.0,80.0,187,-204.677705500331,-1.0945331844937487
1,Serial_both_independent_switching,144,5.0,1.0,1.0,80.0,215,-271.01345956187936,-1.2605277188924622
1,Serial_both_independent_switching,148,5.0,2.0,5.0,20.0,215,-242.59303391511014,-1.1283396926284193
1,Serial_both_independent_switching,151,5.0,2.0,8.0,80.0,215,-259.3533932134169,-1.2062948521554273
1,Serial_both_independent_switching,159,5.0,4.0,16.0,40.0,202,-384.98502927483645,-1.9058664815585964
1,Serial_both_independent_switching,160,5.0,4.0,17.0,80.0,226,-293.74611004931876,-1.299761548890791
1,Serial_both_independent_switching,165,5.0,5.0,22.0,10.0,221,-437.3635036557446,-1.979020378532781
1,Serial_both_independent_switching,168,5.0,6.0,25.0,40.0,202,-391.94068183963554,-1.9403004051467105
1,Serial_both_independent_switching,174,6.0,1.0,4.0,40.0,202,-310.54958981063646,-1.537374206983349
1,Serial_both_independent_switching,180,6.0,2.0,10.0,80.0,226,-341.7687590118147,-1.5122511460699766
1,Serial_both_independent_switching,182,6.0,3.0,12.0,10.0,221,-89.4846768256149,-0.40490803993490904
1,Serial_both_independent_switching,184,6.0,3.0,14.0,40.0,202,-167.30568252064216,-0.8282459530724859
1,Serial_both_independent_switching,185,6.0,3.0,15.0,80.0,226,-267.38034589084396,-1.1830988756232033
1,Serial_both_independent_switching,187,6.0,4.0,17.0,20.0,204,-108.25418417339091,-0.5306577655558378
1,Serial_both_independent_switching,191,6.0,5.0,21.0,80.0,226,-262.14691544349995,-1.1599421037323006
1,Serial_both_independent_switching,196,6.0,6.0,26.0,10.0,221,-75.74322675678819,-0.34272953283614566
1,Serial_both_independent_switching,202,6.0,7.0,32.0,20.0,204,-109.57876605955508,-0.5371508140174268
1,Serial_both_independent_switching,207,7.0,1.0,2.0,40.0,207,-162.29627969893818,-0.784039998545595
1,Serial_both_independent_switching,210,7.0,2.0,5.0,80.0,215,-220.41271399905025,-1.025175413949071
1,Serial_both_independent_switching,217,7.0,3.0,12.0,20.0,215,-88.58720411612794,-0.4120335075168741
1,Serial_both_independent_switching,219,7.0,4.0,14.0,80.0,226,-248.1440480632317,-1.0979825135541226
1,Serial_both_independent_switching,230,7.0,6.0,25.0,40.0,202,-172.17661157183022,-0.8523594632268823
1,Serial_both_independent_switching,231,7.0,6.0,26.0,10.0,221,-41.12743173965393,-0.1860969761975291
1,Serial_both_independent_switching,232,7.0,6.0,27.0,80.0,226,-249.3919021835776,-1.1035039919627327
1,Serial_both_independent_switching,241,8.0,3.0,9.0,40.0,207,-189.601178829032,-0.9159477238117487
1,Serial_both_independent_switching,244,8.0,3.0,12.0,80.0,215,-278.89607155239537,-1.2971910304762575
1,Serial_both_independent_switching,245,8.0,4.0,13.0,80.0,226,-410.1622529986447,-1.81487722565772
1,Serial_both_independent_switching,253,8.0,5.0,21.0,20.0,204,-275.65305528751867,-1.3512404670956797
1,Serial_both_independent_switching,258,8.0,6.0,26.0,80.0,226,-321.3815451368987,-1.4220422351190207
1,Serial_both_independent_switching,259,8.0,6.0,27.0,10.0,221,-194.93026054254804,-0.8820373780205794
1,Serial_both_independent_switching,261,9.0,1.0,2.0,20.0,204,-94.02202520010495,-0.4608922803926713
1,Serial_both_independent_switching,262,9.0,1.0,3.0,80.0,226,-243.7640321125701,-1.0786019120025225
1,Serial_both_independent_switching,270,9.0,3.0,11.0,10.0,221,-111.69486148782826,-0.5054066130670962
1,Serial_both_independent_switching,271,9.0,3.0,12.0,80.0,226,-254.86174866821707,-1.1277068525142349
1,Serial_both_independent_switching,273,9.0,3.0,14.0,40.0,202,-212.3328585726567,-1.0511527652111718
1,Serial_both_independent_switching,283,9.0,5.0,24.0,80.0,226,-272.91431543858016,-1.2075854665423902
1,Serial_both_independent_switching,287,9.0,6.0,28.0,20.0,204,-84.3483825785727,-0.41347246362045437
1,Serial_both_independent_switching,292,9.0,7.0,33.0,80.0,226,-260.9378537709503,-1.154592273322789
1,Serial_both_independent_switching,294,9.0,7.0,35.0,40.0,202,-214.95897540624463,-1.0641533435952704
1,Serial_both_independent_switching,296,9.0,8.0,37.0,10.0,221,-107.08826516277368,-0.4845622858044058
1,Serial_both_independent_switching,300,10.0,1.0,1.0,80.0,226,-439.1186423887093,-1.9430028424279173
1,Serial_both_independent_switching,303,10.0,1.0,4.0,20.0,204,-226.4609819714317,-1.1101028528011359
1,Serial_both_independent_switching,305,10.0,2.0,6.0,40.0,202,-318.05511963751616,-1.5745302952352285
1,Serial_both_independent_switching,316,10.0,4.0,18.0,80.0,226,-351.8645165074106,-1.5569226394133213
1,Serial_both_independent_switching,323,10.0,6.0,25.0,10.0,221,-15.168322580070022,-0.06863494380122181
1,Serial_both_independent_switching,325,10.0,6.0,27.0,80.0,226,-327.3410373845984,-1.4484116698433558
1,Serial_both_independent_switching,327,10.0,6.0,29.0,40.0,202,-163.66231756581396,-0.8102094929000692
1,Serial_both_independent_switching,328,11.0,1.0,1.0,10.0,221,-55.708081078555146,-0.2520727650613355
1,Serial_both_independent_switching,331,11.0,1.0,4.0,40.0,202,-386.81724186219253,-1.9149368409019432
1,Serial_both_independent_switching,333,11.0,2.0,6.0,80.0,226,-291.23237507513403,-1.2886388277660799
1,Serial_both_independent_switching,339,11.0,3.0,12.0,40.0,202,-231.03347989314682,-1.1437300984809249
1,Serial_both_independent_switching,349,11.0,5.0,22.0,80.0,226,-270.1247103486807,-1.1952420811888527
1,Serial_both_independent_switching,351,11.0,5.0,24.0,80.0,226,-251.85592342259594,-1.1144067408079465
1,Serial_both_independent_switching,353,11.0,6.0,26.0,10.0,221,-42.24606392997464,-0.19115866031662732
1,Serial_both_independent_switching,354,11.0,6.0,27.0,20.0,204,-66.56812682085675,-0.3263143471610625
